category,name,status,original price,discount,final price,months in use,buying date,original link
decor,artificial bambu,available now,$89.99,50%,$45.00,8.8,"August 31, 2025",https://www.ikea.com/us/en/p/fejka-artificial-potted-plant-indoor-outdoor-bamboo-40568892/
decor,black floor lamp,available now,$14.00,50%,$7.00,8.9,"August 28, 2025",
decor,entryway rug,available after Jun 15,$16.40,50%,$8.20,3.733333333333,"January 30, 2026",https://a.co/d/0cl6qUhI
decor,gray floor lamp,available now,$14.00,50%,$7.00,8.8,"August 31, 2025",https://www.target.com/p/torchiere-floor-lamp-room-essentials/-/A-87922467?preselect=87291871#lnk=sametab
decor,mirror,soon,$0.00,50%,$0.00,8.8,"August 31, 2025",
decor,paiting,available now,$12.00,50%,$6.00,9,"August 25, 2025",
decor,rug 8’x10’,available after Jun 15,$75.88,50%,$37.94,1.866666666667,"March 27, 2026",https://a.co/d/0cAkhJsm
decor,table lamp,available now,$12.00,50%,$6.00,9.033333333333,"August 24, 2025",
decor,table lamp with outlet,available now,$12.00,50%,$6.00,8.8,"August 31, 2025",
decor,throw pillow 4x,available after Jun 15,$26.89,50%,$13.45,8.9,"August 28, 2025",https://www.amazon.com/dp/B07TJYBLMG?ref=ppx_yo2ov_dt_b_fed_asin_title
decor,throw pillow covers 4x,available after Jun 15,$27.99,50%,$14.00,8.9,"August 28, 2025",https://www.amazon.com/dp/B0F1F9L2YR?ref_=ppx_hzod_title_dt_b_fed_asin_title_0_0
furniture,bedframe,available after Jun 15,$120.00,80%,$24.00,9.033333333333,"August 24, 2025",
furniture,"cadeira de madeira com rodinhas ",soon,$0.00,50%,$0.00,8.8,"August 31, 2025",
furniture,chair 2x,available now,$70.00,70%,$21.00,8.8,"August 31, 2025",https://www.ikea.com/us/en/p/stefan-chair-brown-black-00211088/
furniture,couch,available after Jun 15,$269.00,70%,$80.70,8.966666666667,"August 26, 2025",https://www.ikea.com/us/en/p/klippan-loveseat-vissle-gray-s09010617/
furniture,desk,available now,$99.99,50%,$50.00,8.8,"August 31, 2025",https://www.ikea.com/us/en/p/micke-desk-black-brown-10244743/
furniture,dinner table,available now,$331.66,70%,$99.50,8.8,"August 31, 2025",https://www.homedepot.com/p/Linon-Home-Decor-Angie-Teal-Blue-and-Dark-Gray-Wood-59-in-4-Leg-Dining-Table-Seats-6-THD4572/326109142
furniture,dresser,available after Jun 15,$136.21,50%,$68.11,8.666666666667,"September 4, 2025",https://a.co/d/0cmSpwPT
furniture,flexispot desk,available now,$639.99,70%,$192.00,8.8,"August 31, 2025",https://www.flexispot.com/flexispot-pro-standing-desk-e7
furniture,foldable shelf,available after Jun 15,$67.94,50%,$33.97,8.8,"August 31, 2025",https://www.homedepot.com/p/WINSOME-WOOD-Terry-4-Tier-Foldable-Shelf-Narrow-Black-20852/318372372
furniture,leather armchair,available now,$105.00,50%,$52.50,8.8,"August 31, 2025",https://www.homedepot.com/p/Glamour-Home-Adaya-Cappuccino-Brown-Faux-Leather-Arm-Chair-with-Beech-Legs-Set-of-2-GHDC-1191/312092256
furniture,office desk chair,available now,$40.00,60%,$16.00,,,
furniture,office desk chair,available after Jun 15,$39.86,50%,$19.93,6,"November 23, 2025",https://a.co/d/04iDZkaV
furniture,rustic coffee table,available now,$150.00,50%,$75.00,8.8,"August 31, 2025",
furniture,shoe cabinet + bench,available now,$152.99,50%,$76.50,8.666666666667,"September 4, 2025",https://a.co/d/07ohBY1B
