name,buying date,category,discount,final price,months in use,original link,original price,status
couch,"August 26, 2025",furniture,70%,$80.70,8.966666666667,https://www.ikea.com/us/en/p/klippan-loveseat-vissle-gray-s09010617/,$269.00,available after Jun 15
basket 2x,"August 25, 2025",organizers,50%,$0.00,9,,$0.00,soon
paiting,"August 25, 2025",decor,50%,$6.00,9,,$12.00,available now
microwave,"August 24, 2025",eletronic,50%,$10.00,9.033333333333,,$20.00,available after Jun 15
bedframe,"August 24, 2025",furniture,80%,$24.00,9.033333333333,,$120.00,available after Jun 15
table lamp,"August 24, 2025",decor,50%,$6.00,9.033333333333,,$12.00,available now
side table - morsman,"August 24, 2025",furniture,70%,$30.00,9.033333333333,https://www.etsy.com/pt/listing/1183845960/mersman-vintage-mid-century-modern-end?show_sold_out_detail=1&ref=nla_listing_details,$99.99,available now
throw pillow 4x,"August 28, 2025",decor,50%,$13.45,8.9,https://www.amazon.com/dp/B07TJYBLMG?ref=ppx_yo2ov_dt_b_fed_asin_title,$26.89,available after Jun 15
bed pillows 2x,"August 28, 2025",bedding,50%,$14.50,8.9,https://a.co/d/09Gae4Wc,$28.99,available after Jun 15
throw pillow covers 4x,"August 28, 2025",decor,50%,$14.00,8.9,https://www.amazon.com/dp/B0F1F9L2YR?ref_=ppx_hzod_title_dt_b_fed_asin_title_0_0,$27.99,available after Jun 15
comforter set - queen size - 7 pieces,"August 28, 2025",bedding,70%,$11.70,8.9,https://www.amazon.com/dp/B0CN34R5W3?ref_=ppx_hzod_title_dt_b_fed_asin_title_1_0,$38.99,available after Jun 15
sheet set - queen size - 4 pieces - white,"August 28, 2025",bedding,70%,$9.00,8.9,https://www.amazon.com/dp/B0CT9R7WN5?ref_=ppx_hzod_title_dt_b_fed_asin_title_1_1,$29.99,available after Jun 15
power mop + pads,"August 28, 2025",cleaning,20%,$23.95,8.9,https://www.amazon.com/dp/B0C1DWC251?ref_=ppx_hzod_title_dt_b_fed_asin_title_0_0,$29.94,available after Jun 15
"bucket ","August 28, 2025",cleaning,50%,$7.94,8.9,https://www.amazon.com/dp/B0D2HWD7YN?ref_=ppx_hzod_title_dt_b_fed_asin_title_1_0,$15.88,available after Jun 15
mattress - queen size,"August 27, 2025",bedding,50%,$95.62,8.933333333333,,$191.24,available after Jun 15
yoga mat,"August 25, 2025",others,50%,$12.50,9,https://www.amazon.com/dp/B091FXKQZ6?ref=ppx_yo2ov_dt_b_fed_asin_title,$24.99,available after Jun 15
black floor lamp,"August 28, 2025",decor,50%,$7.00,8.9,,$14.00,available now
side table with drawers,"August 28, 2025",furniture,50%,$20.00,8.9,,$40.00,available now
mop,"August 28, 2025",cleaning,50%,$7.50,8.9,,$15.00,available after Jun 15
leather armchair,"August 31, 2025",furniture,50%,$52.50,8.8,https://www.homedepot.com/p/Glamour-Home-Adaya-Cappuccino-Brown-Faux-Leather-Arm-Chair-with-Beech-Legs-Set-of-2-GHDC-1191/312092256,$105.00,available now
foldable shelf,"August 31, 2025",furniture,50%,$33.97,8.8,https://www.homedepot.com/p/WINSOME-WOOD-Terry-4-Tier-Foldable-Shelf-Narrow-Black-20852/318372372,$67.94,available after Jun 15
flexispot desk,"August 31, 2025",furniture,70%,$192.00,8.8,https://www.flexispot.com/flexispot-pro-standing-desk-e7,$639.99,available now
artificial bambu,"August 31, 2025",decor,50%,$45.00,8.8,https://www.ikea.com/us/en/p/fejka-artificial-potted-plant-indoor-outdoor-bamboo-40568892/,$89.99,available now
gray floor lamp,"August 31, 2025",decor,50%,$7.00,8.8,https://www.target.com/p/torchiere-floor-lamp-room-essentials/-/A-87922467?preselect=87291871#lnk=sametab,$14.00,available now
table lamp with outlet,"August 31, 2025",decor,50%,$6.00,8.8,,$12.00,available now
rustic coffee table,"August 31, 2025",furniture,50%,$75.00,8.8,,$150.00,available now
dinner table,"August 31, 2025",furniture,70%,$99.50,8.8,https://www.homedepot.com/p/Linon-Home-Decor-Angie-Teal-Blue-and-Dark-Gray-Wood-59-in-4-Leg-Dining-Table-Seats-6-THD4572/326109142,$331.66,available now
chair 2x,"August 31, 2025",furniture,70%,$21.00,8.8,https://www.ikea.com/us/en/p/stefan-chair-brown-black-00211088/,$70.00,available now
pebolim,"August 31, 2025",others,50%,$0.00,8.8,,$0.00,soon
lixeira de metal,"August 31, 2025",organizers,50%,$0.00,8.8,,$0.00,soon
lixeira de plástico,"August 31, 2025",organizers,50%,$0.00,8.8,,$0.00,soon
robot vacuum,"August 30, 2025",eletronic,50%,$57.37,8.833333333333,https://a.co/d/0aLmET1V,$114.74,available after Jun 15
shoe cabinet + bench,"September 4, 2025",furniture,50%,$76.50,8.666666666667,https://a.co/d/07ohBY1B,$152.99,available now
dresser,"September 4, 2025",furniture,50%,$68.11,8.666666666667,https://a.co/d/0cmSpwPT,$136.21,available after Jun 15
desk,"August 31, 2025",furniture,50%,$50.00,8.8,https://www.ikea.com/us/en/p/micke-desk-black-brown-10244743/,$99.99,available now
mirror,"August 31, 2025",decor,50%,$0.00,8.8,,$0.00,soon
"cadeira de madeira com rodinhas ","August 31, 2025",furniture,50%,$0.00,8.8,,$0.00,soon
side table round,"August 31, 2025",furniture,50%,$23.25,8.8,https://www.target.com/p/the-urban-port-15-34-modern-side-end-table-metal-round-tray-top-foldable-legs-black/-/A-93171292,$46.49,available now
ikea plates 5x,"August 31, 2025",kitchen,50%,$12.50,8.8,https://www.ikea.com/us/en/p/faergklar-18-piece-dinnerware-set-matte-dark-gray-20564710/,$25.00,available after Jun 15
dinner plate 3x,"August 31, 2025",kitchen,50%,$15.00,8.8,,$30.00,available now
stub glass - tall 5x,"August 31, 2025",kitchen,50%,$20.00,8.8,,$40.00,available now
stub glass - low 3x,"August 31, 2025",kitchen,50%,$10.00,8.8,,$20.00,available now
small shot glass,"August 31, 2025",kitchen,50%,$4.00,8.8,,$8.00,available now
glass 2x,"August 31, 2025",kitchen,50%,$8.00,8.8,,$16.00,available now
champagne flute 4x,"August 31, 2025",kitchen,60%,$4.80,8.8,,$12.00,available now
utensil set with holder,"August 31, 2025",kitchen,50%,$5.00,8.8,,$10.00,available after Jun 15
flatware,"September 1, 2025",kitchen,50%,$7.50,8.766666666667,https://www.target.com/p/20pc-teagan-flatware-silver-room-essentials-8482/-/A-14901073#lnk=sametab,$15.00,available after Jun 15
